Displacement (mm),Force (KN)
0.0,-0.0001
0.05,0.039462500000000005
0.1,0.0763875
0.15000000000000002,0.11271666666666669
0.2,0.14927142857142858
0.25,0.18632
0.30000000000000004,0.22382500000000002
0.35000000000000003,0.2615888888888889
0.4,0.29952500000000004
0.45,0.3372857142857143
0.5,0.3748000000000001
0.55,0.41203333333333336
0.6000000000000001,0.4489222222222222
0.65,0.48536250000000003
0.7000000000000001,0.5210285714285715
0.75,0.5564875
0.8,0.591425
0.8500000000000001,0.6252181818181819
0.9,0.6581714285714286
0.9500000000000001,0.69004
1.0,0.72168
1.05,0.7529857142857143
1.1,0.7833400000000001
1.1500000000000001,0.8130333333333334
1.2000000000000002,0.8418500000000001
1.25,0.8698285714285714
1.3,0.89385
1.35,0.9197400000000001
1.4000000000000001,0.9424714285714286
1.4500000000000002,0.9677666666666668
1.5,0.9920857142857142
1.55,1.012622222222222
1.6,1.030175
1.6500000000000001,1.0516222222222222
1.7000000000000002,1.0726545454545455
1.75,1.0927
1.8,1.11262
1.85,1.1047166666666666
1.9000000000000001,1.0060666666666667
1.9500000000000002,0.9633571428571429
2.0,0.980275
2.0500000000000003,0.9842818181818183
2.1,1.00355
2.15,1.005022222222222
2.2,1.0277125
2.25,1.0421666666666665
2.3000000000000003,0.9759249999999999
2.35,0.9578749999999999
2.4000000000000004,0.9327666666666667
2.45,0.9362
